id,y_true,y_pred,absolute_error
1691352435.509746,55.0,42.64913432963908,12.350865670360918
1691352445.672169,274.0,245.47097829800748,28.52902170199252
1691352455.840442,248.0,203.7505820486254,44.249417951374596
1691352465.975458,283.0,189.19199075072257,93.80800924927743
1691352476.122773,257.0,226.77710220275642,30.222897797243576
1691352486.27279,109.0,108.54802746526389,0.45197253473611454
1691354305.86559,102.0,106.92918500252972,4.929185002529721
1691354317.549599,59.0,69.47571507374218,10.47571507374218
1691354330.073246,66.0,176.4441606004218,110.44416060042181
1691354341.645814,121.0,169.2311988217084,48.231198821708404
1691354351.776395,196.0,164.1638609596704,31.836139040329613
1691354361.860854,191.0,125.279399604834,65.720600395166
1691354372.086724,216.0,170.655761945747,45.344238054253
1691354382.175439,237.0,157.80199942631646,79.19800057368354
1691354392.432324,268.0,225.1286032036448,42.871396796355214
1691354402.52556,155.0,222.4836101484881,67.48361014848811
