row_ID,final_price
35000,2708.102
35001,5653.9805
35002,5566.582
35003,1312.93
35004,4386.771
35005,5772.172
35006,3779.926
35007,2718.1929
35008,3435.0938
35009,5775.8984
35010,1668.3549
35011,3100.5
35012,2766.3608
35013,408.92993
35014,10149.215
35015,13601.252
35016,5508.416
35017,949.8086
35018,12996.908
35019,2029.124
35020,126.577415
35021,7000.4424
35022,31577.191
35023,4631.9688
35024,7625.661
35025,2062.5034
35026,5205.3364
35027,4440.4966
35028,1124.477
35029,25829.969
35030,7238.546
35031,1669.6243
35032,11404.58
35033,8004.5537
35034,3663.686
35035,12365.523
35036,6623.873
35037,5848.134
35038,3129.8667
35039,10808.408
35040,3767.7
35041,6572.767
35042,3100.2305
35043,4053.997
35044,3505.1904
35045,1840.5513
35046,367.17944
35047,4367.5615
35048,4349.274
35049,4990.019
35050,1573.5162
35051,15360.939
35052,1868.584
35053,4722.814
35054,4852.3667
35055,1059.3416
35056,1900.6735
35057,398.86337
35058,227.81287
35059,5425.295
35060,1544.2018
35061,5705.2417
35062,2798.3218
35063,4725.1055
35064,210.64627
35065,12490.748
35066,6244.304
35067,3997.8267
35068,2018.5251
35069,4173.359
35070,4938.823
35071,5544.64
35072,1040.7184
35073,16794.55
35074,4922.748
35075,8676.355
35076,4820.824
35077,6092.8594
35078,18484.066
35079,985.3816
35080,3376.5078
35081,5125.649
35082,3744.5483
35083,3750.5684
35084,4397.3657
35085,3466.204
35086,2896.6855
35087,11374.16
35088,3977.2053
35089,3181.2888
35090,158.2801
35091,3264.2727
35092,227.81287
35093,14214.336
35094,1405.2899
35095,6078.798
35096,4749.4727
35097,7671.014
35098,2677.2441
35099,4134.4355
35100,3713.3687
35101,6630.8423
35102,10992.763
35103,186.21634
35104,3236.2231
35105,6341.608
35106,6531.7456
35107,3762.1677
35108,4884.0757
35109,5799.23
35110,14767.404
35111,2673.191
35112,6529.3086
35113,1037.4083
35114,4125.3223
35115,4074.331
35116,2670.4878
35117,9877.444
35118,835.0799
35119,10712.374
35120,2512.5596
35121,3203.218
35122,2707.6033
35123,5015.2437
35124,3309.066
35125,2484.8855
35126,2440.7634
35127,5720.621
35128,6400.5894
35129,13999.494
35130,3983.7798
35131,842.00793
35132,3523.757
35133,2009.8123
35134,2690.7656
35135,5686.333
35136,134.79645
35137,1815.9204
35138,4566.8687
35139,1662.5271
35140,2644.936
35141,6268.7837
35142,5490.7773
35143,14557.044
35144,2085.5188
35145,2624.1045
35146,9461.147
35147,5799.5513
35148,3632.7185
35149,3532.8796
35150,7106.2695
35151,3172.3616
35152,193.38918
35153,2428.6729
35154,6217.554
35155,398.86337
35156,3846.1848
35157,4937.255
35158,1484.0807
35159,6228.778
35160,169.53004
35161,4024.7378
35162,3606.9312
35163,1504.7666
35164,2875.3896
35165,8732.884
35166,7201.572
35167,3972.811
35168,5000.539
35169,1547.6372
35170,1242.1975
35171,5199.67
35172,6224.5576
35173,7332.8867
35174,2783.398
35175,5772.161
35176,7622.677
35177,4164.002
35178,10972.489
35179,2409.3035
35180,2815.686
35181,5402.5234
35182,6785.1807
35183,10005.03
35184,3646.3586
35185,-23.144455
35186,3544.709
35187,3796.203
35188,6209.3105
35189,2720.9932
35190,1562.6805
35191,1121.6506
35192,5773.1567
35193,5425.3022
35194,9781.498
35195,9427.461
35196,159.4284
35197,98.25744
35198,4139.364
35199,5061.0933
35200,1564.2234
35201,7877.8047
35202,8611.0
35203,1718.2915
35204,5042.555
35205,2935.2676
35206,322.06094
35207,4790.718
35208,8246.596
35209,3885.223
35210,12769.679
35211,2337.6443
35212,1775.1365
35213,19765.004
35214,5580.4634
35215,1204.619
35216,9840.45
35217,898.7207
35218,23328.268
35219,2144.2253
35220,8403.217
35221,11820.736
35222,20240.195
35223,4659.4663
35224,5771.6396
35225,2582.8042
35226,15237.087
35227,7505.674
35228,5290.1343
35229,82.821045
35230,6785.0454
35231,3960.0808
35232,6538.636
35233,3097.068
35234,1096.9121
35235,9052.316
35236,7955.801
35237,3493.6091
35238,3878.6138
35239,1658.9639
35240,9844.289
35241,10367.0625
35242,14253.419
35243,6765.9136
35244,3696.9053
35245,1848.312
35246,3921.1587
35247,11660.418
35248,7882.2515
35249,3515.3523
35250,2889.5896
35251,26722.307
35252,4600.1074
35253,2377.3262
35254,2284.0017
35255,2819.161
35256,16396.781
35257,1725.2876
35258,1480.9407
35259,1087.995
35260,1883.8853
35261,2444.4702
35262,517.9602
35263,17828.521
35264,2455.3489
35265,2685.0176
35266,1810.9097
35267,2498.0347
35268,855.9567
35269,1660.8369
35270,5335.5264
35271,6431.905
35272,6258.1377
35273,1306.0026
35274,14492.152
35275,2763.1045
35276,9935.233
35277,1473.51
35278,2640.5767
